customer_id,signup_month,plan,region,tenure_months,monthly_charges,support_tickets,usage_score,churn
CUST1037,2025-08,Basic,North,16,7.64,4,78.5,0
CUST1038,2024-03,Pro,East,13,21.56,0,28.6,0
CUST1039,2024-05,Basic,East,5,6.73,3,66.3,0
CUST1040,2025-07,Enterprise,West,13,68.92,1,69.2,0
CUST1041,2024-07,Enterprise,West,17,68.91,1,58.5,0
CUST1042,2025-09,Basic,South,18,11.71,6,75.7,0
CUST1043,2024-09,Pro,East,8,22.54,2,98.4,0
CUST1044,2024-07,Pro,North,13,26.56,1,62.8,0
CUST1045,2025-06,Basic,West,19,10.17,2,73.8,0
CUST1046,2024-04,Enterprise,North,3,54.41,2,92.1,0
CUST1047,2025-02,Pro,North,8,27.23,2,63.2,0
CUST1048,2025-06,Pro,East,2,26.17,3,42.2,0
CUST1049,2024-09,Basic,East,8,13.06,2,72.3,0
CUST1050,2025-09,Enterprise,West,13,62.25,1,16.0,0
CUST1051,2024-02,Basic,East,13,7.18,5,14.0,1
CUST1052,2025-08,Basic,East,1,9.07,2,66.7,0
CUST1053,2025-03,Enterprise,East,6,49.49,3,13.1,1
CUST1054,2024-07,Basic,North,19,10.92,2,33.7,0
CUST1055,2024-12,Basic,West,16,14.69,1,52.4,0
CUST1056,2024-08,Enterprise,South,8,67.63,1,45.6,0
CUST1057,2025-03,Enterprise,North,1,59.64,3,57.0,0
CUST1058,2024-03,Pro,East,16,18.5,0,82.3,0
CUST1059,2025-02,Pro,North,9,25.65,0,64.8,0
CUST1060,2025-05,Basic,East,13,10.51,1,43.2,0
CUST1061,2024-04,Basic,East,11,9.04,2,87.1,0
CUST1062,2025-06,Basic,North,13,10.63,2,31.4,0
CUST1063,2024-08,Pro,West,21,26.69,2,64.4,0
CUST1064,2024-04,Pro,East,10,26.79,2,29.2,0
CUST1065,2024-02,Pro,West,4,20.14,2,65.0,0
CUST1066,2024-06,Pro,South,6,32.78,3,53.6,0
CUST1067,2025-10,Basic,East,7,11.03,2,81.6,0
CUST1068,2024-10,Basic,West,5,11.9,1,74.4,0
CUST1069,2024-04,Basic,West,11,8.68,2,48.3,0
CUST1070,2025-10,Pro,South,13,23.09,3,44.4,0
CUST1071,2025-06,Basic,West,19,9.7,1,53.7,0
CUST1072,2024-12,Enterprise,West,23,53.42,3,97.5,0
CUST1073,2024-02,Basic,South,10,12.3,1,92.4,0
CUST1074,2024-10,Basic,East,10,8.0,0,40.6,0
CUST1075,2024-04,Basic,West,11,10.14,3,76.0,0
CUST1076,2025-02,Pro,West,21,24.1,3,25.4,0
CUST1077,2025-04,Pro,West,7,22.62,2,51.1,0
CUST1078,2025-03,Basic,North,18,11.16,1,41.4,0
CUST1079,2024-08,Basic,South,4,12.32,3,81.4,0
CUST1080,2025-02,Pro,North,2,22.62,5,34.2,1
CUST1081,2025-11,Basic,South,14,7.84,4,68.6,0
CUST1082,2024-08,Pro,East,13,22.99,0,60.0,0
CUST1083,2025-09,Pro,East,12,30.78,2,56.5,0
CUST1084,2025-04,Basic,West,7,6.76,3,93.4,0
CUST1085,2025-01,Basic,South,2,10.75,2,95.2,0
CUST1086,2025-06,Enterprise,East,13,55.61,4,57.1,0
CUST1087,2025-03,Basic,South,14,8.17,4,53.1,0
CUST1088,2025-09,Basic,East,17,10.87,1,29.9,0
CUST1089,2025-12,Pro,North,9,26.38,4,59.9,0
CUST1090,2025-01,Enterprise,East,17,60.48,0,99.1,0
CUST1091,2024-09,Enterprise,North,8,49.41,1,57.4,0
CUST1092,2025-03,Pro,East,2,22.71,2,74.6,0
CUST1093,2025-01,Basic,West,13,7.74,1,32.1,0
CUST1094,2024-01,Basic,North,3,9.11,6,51.3,1
CUST1095,2024-07,Pro,East,16,20.95,4,69.2,0
CUST1096,2024-09,Pro,West,6,24.61,4,62.1,1
CUST1097,2025-12,Basic,North,19,12.19,2,76.5,0
CUST1098,2024-01,Enterprise,West,7,78.05,2,47.9,0
CUST1099,2024-12,Basic,South,10,10.29,2,25.0,0
CUST1100,2024-08,Basic,South,9,7.87,5,82.4,0
CUST1101,2025-12,Basic,North,2,8.52,2,41.3,0
CUST1102,2024-11,Basic,East,15,11.12,3,70.1,0
CUST1103,2025-07,Basic,North,5,7.62,3,69.0,0
CUST1104,2025-05,Basic,West,22,11.47,0,26.7,1
CUST1105,2024-08,Basic,East,4,7.3,2,81.0,0
CUST1106,2024-03,Pro,South,20,33.17,4,48.7,0
CUST1107,2024-03,Pro,East,4,28.77,2,61.1,0
CUST1108,2024-01,Pro,South,18,33.8,0,52.8,0
CUST1109,2024-05,Enterprise,East,4,65.67,1,92.5,0
CUST1110,2024-10,Basic,East,17,13.42,1,86.9,0
CUST1111,2024-07,Basic,East,12,9.17,1,23.8,0
CUST1112,2024-09,Enterprise,West,22,44.53,3,100.0,0
CUST1113,2024-07,Basic,West,17,12.41,2,46.4,0
CUST1114,2024-09,Enterprise,North,10,67.41,3,100.0,0
CUST1115,2024-08,Basic,North,22,9.45,3,54.9,0
CUST1116,2024-12,Enterprise,South,1,58.26,2,53.2,0
CUST1117,2024-02,Basic,West,22,11.74,1,55.1,0
CUST1118,2024-01,Enterprise,South,18,71.36,1,52.0,0
CUST1119,2025-04,Pro,North,18,19.91,5,100.0,0
CUST1120,2025-11,Enterprise,South,14,48.65,1,58.5,0
CUST1121,2025-11,Basic,North,15,7.49,2,54.0,0
CUST1122,2025-12,Pro,West,12,22.77,2,61.5,0
CUST1123,2024-05,Enterprise,East,4,51.76,0,40.7,0
CUST1124,2024-03,Pro,West,3,28.41,0,91.9,0
CUST1125,2024-12,Pro,South,20,22.26,3,30.6,0
CUST1126,2024-08,Pro,South,12,32.44,1,47.7,0
CUST1127,2025-10,Basic,West,7,10.41,4,78.7,0
CUST1128,2024-03,Pro,West,11,21.77,4,60.8,0
CUST1129,2024-01,Pro,North,1,22.14,1,71.0,0
CUST1130,2024-03,Enterprise,South,6,52.77,5,90.7,0
CUST1131,2024-05,Basic,South,15,11.74,1,80.1,0
CUST1132,2025-03,Basic,West,15,9.51,0,62.7,0
CUST1133,2025-02,Enterprise,East,19,65.96,2,100.0,0
CUST1134,2024-03,Enterprise,South,11,68.47,3,47.4,0
CUST1135,2024-01,Basic,East,23,7.34,1,58.0,0
CUST1136,2024-05,Pro,West,2,24.7,1,59.4,0
CUST1137,2025-11,Basic,West,14,10.23,1,58.0,0
CUST1138,2025-02,Basic,North,2,11.74,3,38.6,1
CUST1139,2024-07,Basic,South,4,6.41,2,28.3,1
CUST1140,2024-09,Basic,East,17,12.62,2,68.3,0
CUST1141,2025-03,Pro,North,3,23.58,0,47.3,0
CUST1142,2025-03,Basic,South,13,9.35,1,98.2,0
CUST1143,2024-10,Enterprise,North,9,61.07,1,58.5,0
CUST1144,2025-01,Enterprise,West,7,70.93,5,55.0,0
CUST1145,2025-07,Pro,South,15,29.8,4,81.9,0
CUST1146,2024-07,Pro,North,23,21.75,2,68.0,0
CUST1147,2025-05,Basic,North,11,10.77,2,56.5,0
CUST1148,2025-08,Pro,East,20,27.91,0,47.2,0
CUST1149,2024-04,Pro,North,2,22.3,0,100.0,0
CUST1150,2024-05,Basic,South,15,11.73,1,67.2,0
CUST1151,2025-11,Enterprise,South,14,52.27,2,81.7,0
CUST1152,2024-07,Pro,East,20,28.63,3,39.5,0
CUST1153,2025-01,Enterprise,South,22,70.7,2,48.4,0
CUST1154,2025-03,Pro,West,11,28.23,0,100.0,0
CUST1155,2024-11,Pro,South,3,25.82,1,87.9,0
CUST1156,2024-04,Basic,South,17,10.85,4,69.2,0
CUST1157,2025-01,Enterprise,North,12,61.89,1,52.4,0
CUST1158,2024-07,Enterprise,North,21,55.43,3,55.3,0
CUST1159,2025-07,Basic,South,15,14.93,0,46.5,0
CUST1160,2025-10,Basic,East,16,9.42,1,36.9,1
CUST1161,2024-02,Basic,North,5,9.18,3,78.5,0
CUST1162,2024-10,Pro,East,20,19.85,2,70.8,0
CUST1163,2025-01,Enterprise,South,6,56.29,3,74.7,0
CUST1164,2025-09,Basic,South,19,7.56,1,53.3,0
CUST1165,2024-06,Pro,West,5,34.45,1,65.1,0
CUST1166,2024-12,Basic,North,3,12.62,2,51.4,0
CUST1167,2024-12,Enterprise,South,1,51.69,2,45.5,0
CUST1168,2025-08,Pro,West,6,23.76,2,93.3,0
CUST1169,2024-11,Pro,North,15,17.82,4,62.4,0
CUST1170,2025-11,Basic,South,2,10.73,1,70.1,0
CUST1171,2024-07,Basic,South,3,12.8,2,76.7,0
CUST1172,2024-01,Basic,North,17,6.01,2,62.7,0
CUST1173,2024-01,Basic,North,12,12.44,2,64.8,0
CUST1174,2025-08,Enterprise,North,18,63.8,2,38.3,0
CUST1175,2025-01,Pro,South,15,22.67,2,42.1,0
CUST1176,2024-09,Enterprise,South,12,52.6,2,41.0,0
CUST1177,2024-03,Enterprise,West,16,62.64,1,72.1,0
CUST1178,2024-07,Pro,East,8,29.15,1,61.4,0
CUST1179,2024-06,Pro,North,14,25.35,3,42.1,0
CUST1180,2024-08,Enterprise,South,17,53.22,1,71.6,0
CUST1181,2024-09,Pro,South,21,25.28,2,70.9,0
CUST1182,2024-05,Basic,North,8,11.16,3,46.1,0
CUST1183,2024-01,Basic,East,15,8.96,3,59.4,0
CUST1184,2025-07,Basic,North,14,9.13,5,70.9,0
CUST1185,2024-10,Enterprise,East,18,56.97,1,42.8,0
CUST1186,2024-12,Pro,South,20,23.52,3,71.3,0
CUST1187,2025-12,Basic,East,7,11.09,2,66.0,0
CUST1188,2025-03,Pro,West,3,27.32,3,40.0,0
CUST1189,2025-10,Pro,South,12,26.39,1,64.4,0
CUST1190,2025-12,Basic,West,21,6.06,1,67.3,0
CUST1191,2024-09,Basic,North,3,9.56,4,47.5,1
CUST1192,2025-08,Pro,North,20,20.21,0,49.1,0
CUST1193,2025-05,Pro,North,14,29.12,4,39.8,1
CUST1194,2025-05,Pro,East,15,27.75,2,51.0,0
CUST1195,2025-08,Pro,South,14,26.68,1,59.8,0
CUST1196,2024-12,Enterprise,North,7,44.96,0,49.1,0
CUST1197,2024-07,Pro,North,17,27.3,3,30.3,0
CUST1198,2024-02,Pro,South,12,29.31,1,46.2,0
CUST1199,2024-03,Enterprise,North,20,32.91,1,51.7,0
CUST1200,2025-05,Basic,West,4,6.84,2,76.3,0
CUST1201,2024-05,Basic,South,9,10.07,0,71.9,0
CUST1202,2025-05,Basic,South,6,10.48,5,76.7,1
CUST1203,2025-12,Pro,South,16,33.8,3,45.2,0
CUST1204,2025-05,Pro,West,22,24.18,0,62.8,0
CUST1205,2025-05,Pro,South,22,28.43,3,11.5,0
CUST1206,2024-02,Basic,West,21,6.69,1,68.6,0
CUST1207,2024-02,Basic,South,21,12.51,0,72.2,0
CUST1208,2025-10,Basic,East,2,12.29,1,53.0,0
CUST1209,2025-11,Basic,North,8,5.97,1,65.9,0
CUST1210,2024-05,Pro,East,11,28.24,1,29.7,0
CUST1211,2024-01,Basic,North,13,8.8,0,44.0,0
CUST1212,2024-01,Basic,West,17,13.28,1,75.3,0
CUST1213,2025-07,Enterprise,East,8,54.76,2,70.2,0
CUST1214,2024-02,Basic,South,21,7.01,4,51.8,0
CUST1215,2025-09,Pro,North,18,23.73,3,76.2,0
CUST1216,2024-12,Pro,North,18,30.33,1,62.8,0
CUST1217,2024-06,Basic,East,14,9.48,3,49.9,0
CUST1218,2025-11,Pro,West,15,30.13,1,56.3,0
CUST1219,2024-04,Enterprise,East,6,71.95,2,50.9,0
CUST1220,2025-11,Enterprise,West,11,67.74,2,36.3,0
CUST1221,2024-11,Basic,West,13,13.04,2,85.1,0
CUST1222,2025-12,Enterprise,North,1,53.74,1,48.6,0
CUST1223,2025-05,Basic,East,6,11.25,0,43.4,0
CUST1224,2024-06,Basic,East,9,8.53,3,29.4,0
CUST1225,2025-12,Basic,West,8,8.6,1,7.3,1
CUST1226,2024-05,Enterprise,East,11,49.24,0,74.0,0
CUST1227,2025-08,Basic,South,22,7.94,2,75.9,0
CUST1228,2024-02,Basic,South,19,10.94,0,83.9,0
CUST1229,2024-06,Pro,East,9,24.44,1,57.0,0
CUST1230,2025-10,Basic,East,17,9.13,2,53.6,0
CUST1231,2024-11,Basic,West,12,12.65,1,49.8,0
CUST1232,2025-04,Basic,South,14,7.45,5,51.7,0
CUST1233,2025-04,Basic,South,15,12.69,3,82.4,0
CUST1234,2024-01,Basic,North,16,6.11,1,59.5,0
CUST1235,2024-09,Basic,West,22,15.4,1,67.6,0
CUST1236,2024-06,Pro,North,22,26.05,0,51.2,0
CUST1237,2025-04,Basic,South,20,7.68,0,86.4,0
CUST1238,2024-03,Basic,West,1,9.53,2,21.9,1
CUST1239,2025-08,Enterprise,East,10,49.78,2,35.6,0
CUST1240,2024-04,Basic,West,8,10.77,4,67.6,0
CUST1241,2025-07,Pro,East,18,19.49,0,95.0,0
CUST1242,2024-03,Basic,East,1,8.01,1,55.5,0
CUST1243,2025-07,Basic,West,2,11.16,1,43.2,0
CUST1244,2025-08,Basic,East,1,6.93,1,80.0,0
CUST1245,2024-07,Basic,North,1,12.07,2,66.5,0
CUST1246,2025-08,Basic,South,9,10.83,0,85.8,0
CUST1247,2024-09,Basic,East,13,12.15,1,34.2,1
CUST1248,2024-01,Basic,North,1,9.76,0,84.2,0
CUST1249,2024-08,Basic,East,13,9.13,3,29.0,1
CUST1250,2024-07,Basic,South,20,11.63,2,54.2,0
CUST1251,2025-06,Basic,North,22,7.38,1,68.3,0
CUST1252,2024-08,Basic,South,7,6.51,1,63.7,0
CUST1253,2024-01,Pro,South,2,16.54,2,81.2,0
CUST1254,2024-11,Pro,North,6,30.09,1,23.5,1
CUST1255,2025-06,Basic,North,7,11.11,0,62.8,0
CUST1256,2025-11,Pro,North,14,21.54,5,84.0,0
CUST1257,2024-10,Pro,West,18,25.83,4,61.2,0
CUST1258,2024-03,Basic,North,15,12.02,2,37.2,0
CUST1259,2024-07,Enterprise,North,2,49.7,0,80.2,0
CUST1260,2025-04,Enterprise,North,10,60.77,3,47.0,0
CUST1261,2025-04,Basic,North,23,9.77,2,43.5,0
CUST1262,2025-08,Basic,East,12,10.93,6,41.0,0
CUST1263,2025-05,Pro,West,17,25.57,3,56.0,0
CUST1264,2024-02,Pro,South,8,20.54,1,63.7,0
CUST1265,2024-01,Basic,North,11,9.67,2,34.6,1
CUST1266,2025-04,Basic,East,3,11.62,1,38.7,1
CUST1267,2024-12,Basic,East,6,8.58,3,46.1,0
CUST1268,2024-05,Basic,East,9,9.96,0,40.9,0
CUST1269,2024-05,Pro,South,6,27.95,4,60.7,1
CUST1270,2025-11,Basic,North,9,8.1,3,67.2,0
CUST1271,2024-09,Basic,West,7,5.68,1,64.5,0
CUST1272,2024-09,Pro,West,9,24.84,2,64.5,0
CUST1273,2024-03,Basic,East,18,9.49,0,93.4,0
CUST1274,2025-07,Basic,South,12,12.02,6,68.5,0
CUST1275,2025-04,Pro,South,8,24.8,3,75.7,0
CUST1276,2025-04,Enterprise,South,8,76.37,1,51.7,0
CUST1277,2024-03,Pro,West,18,19.19,0,78.9,0
CUST1278,2025-08,Pro,East,20,14.5,3,50.8,0
CUST1279,2025-12,Basic,North,15,11.15,0,68.2,0
CUST1280,2025-10,Basic,West,7,5.13,2,32.6,1
CUST1281,2025-12,Pro,East,11,25.62,2,63.3,0
CUST1282,2024-01,Basic,East,20,10.47,3,40.5,0
CUST1283,2025-12,Basic,North,16,9.96,2,78.7,0
CUST1284,2025-08,Basic,North,4,8.78,2,77.5,0
CUST1285,2024-11,Basic,North,6,12.39,2,50.7,0
CUST1286,2025-05,Basic,South,22,12.49,3,100.0,0
CUST1287,2024-08,Basic,North,3,5.59,2,54.3,0
CUST1288,2024-04,Basic,East,9,8.4,1,27.8,1
CUST1289,2024-06,Basic,North,10,9.71,2,44.4,0
CUST1290,2024-08,Enterprise,East,14,64.78,3,39.1,0
CUST1291,2025-08,Pro,West,11,23.13,2,67.6,0
CUST1292,2024-03,Pro,South,18,21.56,0,35.3,0
CUST1293,2025-04,Pro,West,22,27.23,3,49.2,0
CUST1294,2024-03,Basic,West,12,9.58,3,66.3,0
CUST1295,2025-06,Basic,East,23,9.77,2,62.8,0
CUST1296,2025-02,Pro,West,12,27.54,1,59.7,0
CUST1297,2025-06,Pro,East,13,22.97,6,62.5,0
CUST1298,2024-02,Pro,North,13,20.03,6,52.6,0
CUST1299,2025-10,Basic,North,19,11.37,3,27.9,0
CUST1300,2024-03,Basic,East,19,9.85,3,52.1,0
CUST1301,2025-04,Basic,North,23,7.87,2,69.4,0
CUST1302,2024-09,Basic,South,14,9.93,0,57.3,0
CUST1303,2024-04,Pro,West,4,22.38,1,67.8,0
CUST1304,2024-01,Pro,South,13,21.39,1,48.3,0
CUST1305,2024-04,Basic,West,8,11.66,0,79.9,0
CUST1306,2024-01,Enterprise,North,23,62.8,4,8.9,1
CUST1307,2025-02,Pro,South,21,22.46,3,62.8,0
CUST1308,2025-09,Basic,North,23,8.34,3,87.0,0
CUST1309,2025-04,Basic,West,19,10.4,1,90.0,0
CUST1310,2025-08,Basic,East,12,11.72,2,55.4,0
CUST1311,2025-12,Basic,East,18,5.74,2,33.5,0
CUST1312,2024-08,Basic,South,6,7.77,1,87.3,0
CUST1313,2024-07,Basic,North,18,9.26,2,59.0,0
CUST1314,2024-03,Basic,North,19,10.63,0,56.8,0
CUST1315,2025-05,Basic,South,22,9.67,1,42.1,0
CUST1316,2024-01,Enterprise,East,5,52.22,0,35.0,1
CUST1317,2025-04,Basic,West,9,14.09,1,71.3,0
CUST1318,2024-12,Pro,South,3,22.82,3,73.4,0
CUST1319,2025-07,Basic,West,10,12.27,2,64.0,0
CUST1320,2025-10,Enterprise,East,19,46.25,3,44.7,0
CUST1321,2025-11,Basic,North,3,11.1,2,38.7,1
CUST1322,2025-10,Basic,East,22,14.26,1,31.4,1
CUST1323,2025-02,Enterprise,South,15,57.33,3,48.8,0
CUST1324,2024-06,Enterprise,North,1,58.93,1,39.9,1
CUST1325,2024-06,Pro,South,7,24.85,2,25.8,0
CUST1326,2025-01,Basic,South,12,12.25,3,73.0,0
CUST1327,2025-07,Basic,East,17,8.4,2,33.6,0
CUST1328,2025-10,Pro,South,21,24.79,1,79.7,0
CUST1329,2024-08,Enterprise,East,20,40.09,4,67.9,0
CUST1330,2024-02,Pro,North,5,24.67,1,65.9,0
CUST1331,2025-09,Pro,East,4,17.3,2,93.3,0
CUST1332,2024-01,Basic,North,12,8.8,0,34.3,1
CUST1333,2025-03,Pro,East,20,28.83,0,77.5,0
CUST1334,2024-01,Basic,West,18,9.97,1,54.0,0
CUST1335,2024-05,Basic,West,17,11.07,3,100.0,0
CUST1336,2025-04,Basic,South,19,9.15,1,52.4,0
CUST1337,2025-07,Pro,East,9,27.7,1,49.2,0
CUST1338,2024-04,Basic,East,4,12.96,0,68.5,0
CUST1339,2024-03,Basic,North,21,9.01,2,55.8,0
CUST1340,2025-05,Pro,South,2,16.2,1,44.8,0
CUST1341,2025-05,Basic,East,4,12.87,2,40.6,0
CUST1342,2024-12,Pro,South,2,31.07,1,89.2,0
CUST1343,2025-02,Basic,West,15,8.29,1,36.7,1
CUST1344,2025-09,Basic,East,2,9.64,4,64.5,1
CUST1345,2024-06,Pro,East,4,30.56,2,81.1,0
CUST1346,2024-03,Basic,South,6,10.41,0,82.1,0
CUST1347,2024-09,Basic,East,7,7.59,1,48.0,0
CUST1348,2024-05,Basic,South,10,11.19,2,55.9,0
CUST1349,2025-12,Basic,East,19,11.54,4,52.0,0
CUST1350,2025-05,Enterprise,North,19,46.68,1,29.3,0
CUST1351,2025-02,Basic,South,22,11.22,0,70.8,0
CUST1352,2025-09,Pro,East,12,33.96,3,60.8,0
CUST1353,2024-03,Basic,West,3,9.61,1,88.8,0
CUST1354,2024-01,Pro,East,13,29.34,5,43.5,0
CUST1355,2025-08,Pro,West,18,26.96,2,81.8,0
CUST1356,2025-09,Pro,West,8,29.86,6,83.2,0
CUST1357,2025-11,Basic,North,21,11.17,0,60.9,0
CUST1358,2024-01,Basic,South,15,13.09,2,16.6,0
CUST1359,2024-03,Basic,East,1,11.89,1,49.7,0
CUST1360,2025-06,Enterprise,North,3,66.85,2,95.7,0
CUST1361,2024-10,Pro,East,8,19.24,0,65.9,0
CUST1362,2025-10,Enterprise,West,4,58.33,2,73.9,0
CUST1363,2024-03,Basic,South,16,10.17,2,58.2,0
CUST1364,2024-08,Pro,East,23,22.52,1,55.5,0
CUST1365,2025-02,Enterprise,East,10,66.24,3,22.7,0
CUST1366,2025-12,Basic,West,12,11.55,1,75.9,0
CUST1367,2025-06,Basic,East,14,12.24,0,81.6,0
CUST1368,2025-03,Pro,East,14,28.85,1,41.0,0
CUST1369,2025-10,Pro,West,2,20.49,1,56.4,0
CUST1370,2025-11,Pro,North,23,33.44,2,53.7,0
CUST1371,2024-02,Basic,West,5,3.3,3,68.4,0
CUST1372,2024-10,Pro,North,5,31.9,5,49.1,0
CUST1373,2024-02,Basic,South,6,8.12,1,78.6,0
CUST1374,2025-05,Basic,North,13,12.42,2,61.4,0
CUST1375,2024-08,Basic,North,9,11.24,3,9.0,0
CUST1376,2024-01,Pro,South,22,24.45,3,68.9,0
CUST1377,2024-09,Pro,North,15,18.53,3,79.9,0
CUST1378,2024-11,Pro,West,14,26.79,0,37.0,0
CUST1379,2025-10,Basic,North,7,9.18,3,68.2,0
CUST1380,2025-04,Enterprise,South,20,56.2,3,96.6,0
CUST1381,2024-07,Basic,West,2,6.68,2,62.2,0
CUST1382,2024-10,Pro,South,7,23.88,4,82.8,0
CUST1383,2025-11,Basic,South,6,12.15,2,51.2,0
CUST1384,2024-03,Basic,East,17,8.92,1,59.6,0
CUST1385,2025-06,Basic,East,2,10.61,0,55.9,0
CUST1386,2025-12,Basic,South,3,11.47,2,52.3,0
CUST1387,2025-01,Pro,South,5,26.12,0,57.0,0
CUST1388,2024-07,Pro,South,5,19.09,3,27.4,1
CUST1389,2024-04,Basic,East,1,8.67,1,53.4,0
CUST1390,2025-01,Enterprise,East,8,53.86,0,86.8,0
CUST1391,2025-08,Basic,North,12,13.12,2,40.7,0
CUST1392,2024-01,Pro,North,4,27.39,0,38.7,1
CUST1393,2024-08,Enterprise,South,13,56.67,1,61.2,0
CUST1394,2025-02,Pro,West,23,24.45,1,62.2,0
CUST1395,2025-04,Basic,West,15,11.7,2,67.5,0
CUST1396,2025-02,Enterprise,East,11,71.69,1,57.7,0
CUST1397,2024-12,Pro,East,10,30.16,0,61.4,0
CUST1398,2025-07,Basic,East,3,8.19,1,53.0,0
CUST1399,2025-11,Basic,South,22,9.39,0,34.5,0
CUST1400,2025-03,Pro,West,14,18.74,2,58.6,0
CUST1401,2024-02,Pro,North,16,24.13,2,74.5,0
CUST1402,2024-02,Pro,South,10,20.66,1,70.3,0
CUST1403,2025-11,Enterprise,North,10,62.79,2,25.1,0
CUST1404,2025-10,Pro,North,12,20.97,3,65.0,0
CUST1405,2025-07,Basic,South,9,11.4,1,42.1,0
CUST1406,2025-10,Basic,North,1,8.19,2,87.8,0
CUST1407,2025-10,Basic,West,5,12.11,3,66.5,0
CUST1408,2025-05,Pro,North,20,20.51,2,77.9,0
CUST1409,2025-08,Basic,West,8,7.84,3,60.4,0
CUST1410,2024-10,Pro,West,11,21.14,2,58.7,0
CUST1411,2024-06,Pro,West,12,28.74,2,89.9,0
CUST1412,2025-03,Enterprise,East,1,53.07,1,79.5,0
CUST1413,2025-10,Basic,North,22,11.75,6,62.4,0
CUST1414,2024-11,Pro,South,20,27.24,2,56.0,0
CUST1415,2024-05,Basic,South,11,10.1,2,25.9,0
CUST1416,2024-01,Pro,North,5,27.78,1,66.5,0
CUST1417,2024-08,Basic,East,15,8.29,1,57.5,0
CUST1418,2025-09,Basic,East,5,13.37,1,71.1,0
CUST1419,2024-12,Pro,West,12,28.61,2,77.2,0
CUST1420,2024-12,Basic,North,5,10.86,5,84.7,1
CUST1421,2024-05,Basic,North,17,10.39,2,66.7,0
CUST1422,2024-07,Pro,South,17,25.74,1,39.1,0
CUST1423,2024-04,Pro,North,12,20.79,1,17.0,0
CUST1424,2024-06,Pro,East,15,25.83,2,43.5,0
CUST1425,2025-01,Pro,North,15,29.24,3,86.7,0
CUST1426,2025-08,Pro,South,6,17.48,1,96.5,0
CUST1427,2025-03,Basic,West,12,8.4,2,55.2,0
CUST1428,2024-03,Basic,South,20,10.31,5,30.8,1
CUST1429,2025-11,Basic,South,18,10.66,1,47.0,0
CUST1430,2024-08,Enterprise,West,14,66.06,2,82.8,0
CUST1431,2025-08,Pro,South,2,25.44,4,48.2,1
CUST1432,2025-04,Basic,South,9,9.45,4,71.8,0
CUST1433,2025-01,Basic,North,5,8.0,3,63.4,0
CUST1434,2025-06,Enterprise,North,20,51.86,2,74.2,0
CUST1435,2024-10,Basic,West,1,11.63,2,96.4,0
CUST1436,2025-07,Pro,North,23,24.33,1,71.8,0
CUST1437,2025-05,Pro,North,3,25.8,1,62.9,0
CUST1438,2025-12,Pro,South,6,22.37,1,98.6,0
CUST1439,2025-07,Basic,East,5,6.13,3,67.0,0
CUST1440,2025-11,Enterprise,North,21,63.35,4,44.1,0
CUST1441,2024-05,Enterprise,East,5,66.91,0,73.7,0
CUST1442,2025-09,Pro,North,1,24.26,3,68.9,0
CUST1443,2025-11,Pro,North,17,18.04,3,53.8,0
